Date,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,Violation Description,Violation Charged Code
2023-09-13,2023,10,5,30,Female,Red light violation,TC1265
2023-01-20,2023,10,4,33,Female,Red light violation,TC3180
2023-05-25,2023,4,7,49,Female,Unsafe lane change,TC3467
2023-10-20,2023,1,5,40,Female,Unsafe lane change,TC5559
2023-12-25,2023,4,4,27,Male,Stop sign violation,TC8923
2023-02-16,2023,8,4,30,Male,Following too closely,TC1682
2023-05-16,2023,2,3,28,Male,Speeding - 11-20 mph over limit,TC9902
2023-08-06,2023,11,4,30,Male,Speeding - 1-10 mph over limit,TC6168
2023-09-28,2023,7,4,41,Female,Mobile phone violation,TC7347
2023-05-26,2023,10,7,54,Female,Speeding - 11-20 mph over limit,TC8501
2023-10-19,2023,5,1,38,Male,Unsafe lane change,TC5168
2023-09-04,2023,11,3,64,Female,Red light violation,TC2328
2023-01-23,2023,1,1,31,Female,Stop sign violation,TC9082
2023-12-22,2023,10,1,29,Male,Unsafe lane change,TC9066
2023-01-02,2023,10,1,48,Male,Following too closely,TC4348
2023-09-06,2023,3,7,22,Female,Seat belt violation,TC4548
2023-05-14,2023,4,2,35,Male,Stop sign violation,TC5544
2023-11-24,2023,3,5,50,Female,Mobile phone violation,TC8021
2023-04-01,2023,10,2,57,Female,Equipment violation,TC8458
2023-03-16,2023,7,4,51,Male,Unsafe lane change,TC6086
2023-01-09,2023,11,2,24,Female,Unsafe lane change,TC8683
2023-09-20,2023,2,4,35,Male,Mobile phone violation,TC7932
2023-06-25,2023,2,7,36,Male,Stop sign violation,TC6702
2023-01-23,2023,6,3,19,Male,Equipment violation,TC8930
2023-01-02,2023,7,7,49,Female,Unsafe lane change,TC4242
2023-04-21,2023,9,1,39,Male,Unsafe lane change,TC6251
2023-05-18,2023,3,7,52,Female,Speeding - 1-10 mph over limit,TC7190
2023-09-02,2023,11,2,34,Male,Seat belt violation,TC2027
2023-10-26,2023,10,2,24,Female,Seat belt violation,TC2489
2023-01-06,2023,8,3,58,Female,Speeding - 1-10 mph over limit,TC5302
2023-01-19,2023,12,7,32,Male,Equipment violation,TC2263
2023-06-18,2023,11,5,58,Female,Following too closely,TC9567
2023-04-19,2023,3,7,63,Male,Speeding - 1-10 mph over limit,TC9328
2023-09-15,2023,1,1,22,Female,Following too closely,TC4023
2023-07-14,2023,6,1,25,Male,Speeding - 1-10 mph over limit,TC9167
2023-03-12,2023,7,1,47,Female,Speeding - 11-20 mph over limit,TC5487
2023-09-28,2023,8,6,44,Male,Speeding - 1-10 mph over limit,TC8837
2023-02-01,2023,11,4,22,Male,Equipment violation,TC3031
2023-06-28,2023,6,2,48,Male,Seat belt violation,TC8744
2023-10-06,2023,3,4,34,Male,Following too closely,TC7485
2023-08-16,2023,8,5,31,Female,Following too closely,TC8951
2023-10-27,2023,10,2,63,Female,Unsafe lane change,TC3298
2023-04-23,2023,12,1,30,Male,Speeding - 1-10 mph over limit,TC6855
2023-06-18,2023,5,2,54,Female,Stop sign violation,TC5901
2023-03-29,2023,10,5,24,Female,Unsafe lane change,TC9194
2023-08-28,2023,5,4,52,Male,Unsafe lane change,TC7287
2023-08-07,2023,5,5,58,Female,Speeding - 11-20 mph over limit,TC5833
2023-12-11,2023,4,7,35,Female,Stop sign violation,TC1200
2023-03-20,2023,10,6,42,Male,Red light violation,TC4901
2023-03-02,2023,6,6,33,Male,Seat belt violation,TC4885
2023-08-12,2023,8,7,30,Female,Unsafe lane change,TC9121
2023-12-08,2023,2,4,59,Female,Following too closely,TC3538
2023-10-06,2023,8,7,33,Male,Speeding - 1-10 mph over limit,TC7418
2023-08-06,2023,8,1,53,Male,Speeding - 11-20 mph over limit,TC8476
2023-09-24,2023,1,1,47,Female,Unsafe lane change,TC1896
2023-03-30,2023,4,7,18,Female,Red light violation,TC5837
2023-12-27,2023,5,5,43,Female,Equipment violation,TC7049
2023-10-08,2023,7,2,38,Male,Mobile phone violation,TC9110
2023-02-07,2023,6,7,63,Male,Speeding - 11-20 mph over limit,TC5847
2023-07-05,2023,4,4,45,Male,Following too closely,TC5671
2023-10-04,2023,10,1,26,Female,Speeding - 11-20 mph over limit,TC1898
2023-10-09,2023,5,4,23,Female,Equipment violation,TC3861
2023-04-07,2023,2,2,36,Male,Equipment violation,TC4164
2023-11-13,2023,2,5,19,Female,Speeding - 1-10 mph over limit,TC8631
2023-12-11,2023,4,3,54,Male,Speeding - 11-20 mph over limit,TC9876
2023-08-30,2023,12,3,54,Male,Stop sign violation,TC7828
2023-09-20,2023,2,6,62,Female,Red light violation,TC7958
2023-10-22,2023,11,1,49,Male,Mobile phone violation,TC2543
2023-05-12,2023,1,5,18,Female,Stop sign violation,TC5597
2023-05-23,2023,1,3,30,Female,Seat belt violation,TC4827
2023-03-16,2023,4,4,26,Female,Seat belt violation,TC8278
2023-07-12,2023,8,5,41,Female,Mobile phone violation,TC9995
2023-03-09,2023,1,1,24,Male,Red light violation,TC1333
2023-04-16,2023,6,4,33,Male,Red light violation,TC7784
2023-09-28,2023,11,6,33,Male,Equipment violation,TC4284
2023-05-24,2023,3,4,51,Male,Speeding - 1-10 mph over limit,TC6449
2023-01-30,2023,1,1,47,Male,Mobile phone violation,TC1135
2023-05-22,2023,8,5,19,Male,Speeding - 1-10 mph over limit,TC4004
2023-02-10,2023,8,1,32,Female,Speeding - 1-10 mph over limit,TC6847
2023-08-26,2023,8,4,52,Female,Mobile phone violation,TC3307
2023-10-11,2023,12,5,39,Female,Stop sign violation,TC4471
2023-01-29,2023,4,4,43,Male,Speeding - 1-10 mph over limit,TC6133
2023-04-09,2023,11,4,27,Female,Following too closely,TC5506
2023-06-10,2023,11,5,29,Female,Equipment violation,TC3133
2023-07-20,2023,3,6,43,Female,Mobile phone violation,TC3258
2023-09-26,2023,8,1,21,Male,Unsafe lane change,TC6432
2023-01-10,2023,6,6,58,Female,Speeding - 1-10 mph over limit,TC2233
2023-07-09,2023,3,7,48,Female,Following too closely,TC9099
2023-12-17,2023,6,4,28,Male,Unsafe lane change,TC8181
2023-05-21,2023,6,1,19,Male,Following too closely,TC9575
2023-12-24,2023,4,7,41,Female,Speeding - 11-20 mph over limit,TC9337
2023-12-04,2023,3,5,22,Female,Unsafe lane change,TC1348
2023-12-03,2023,11,6,38,Female,Stop sign violation,TC2741
2023-07-05,2023,11,2,22,Female,Seat belt violation,TC5084
2023-12-08,2023,12,3,27,Male,Seat belt violation,TC9700
2023-03-29,2023,6,4,33,Female,Red light violation,TC7051
2023-10-13,2023,10,4,64,Male,Equipment violation,TC9496
2023-06-16,2023,1,7,21,Female,Equipment violation,TC8391
2023-07-14,2023,10,3,20,Male,Speeding - 11-20 mph over limit,TC5622
2023-07-12,2023,8,7,27,Male,Red light violation,TC8396
2023-09-24,2023,7,5,55,Female,Speeding - 1-10 mph over limit,TC6657
2023-02-09,2023,11,6,24,Male,Unsafe lane change,TC1166
2023-08-01,2023,8,7,28,Male,Stop sign violation,TC1058
2023-07-24,2023,8,7,41,Male,Mobile phone violation,TC6846
2023-07-06,2023,4,5,42,Female,Mobile phone violation,TC8198
2023-10-27,2023,10,2,47,Female,Unsafe lane change,TC3830
2023-11-25,2023,6,6,28,Female,Equipment violation,TC4519
2023-05-08,2023,1,4,63,Female,Speeding - 11-20 mph over limit,TC8882
2023-02-11,2023,7,6,65,Female,Mobile phone violation,TC5486
2023-09-01,2023,1,7,56,Female,Mobile phone violation,TC6004
2023-03-23,2023,6,2,22,Male,Stop sign violation,TC3948
2023-03-11,2023,7,2,20,Female,Seat belt violation,TC6996
2023-03-18,2023,11,5,51,Male,Seat belt violation,TC2920
2023-11-15,2023,8,5,65,Male,Unsafe lane change,TC9101
2023-12-03,2023,11,5,38,Female,Unsafe lane change,TC6564
2023-02-07,2023,7,3,28,Male,Speeding - 1-10 mph over limit,TC1293
2023-06-08,2023,5,1,28,Male,Seat belt violation,TC4003
2023-03-15,2023,11,3,53,Male,Red light violation,TC1909
2023-07-24,2023,1,6,57,Male,Mobile phone violation,TC4447
2023-02-06,2023,7,2,48,Male,Following too closely,TC9993
2023-03-09,2023,4,7,25,Female,Equipment violation,TC1360
2023-05-30,2023,6,5,28,Female,Equipment violation,TC9774
2023-07-19,2023,5,2,57,Male,Mobile phone violation,TC6217
2023-01-24,2023,9,7,23,Male,Speeding - 1-10 mph over limit,TC5314
2023-06-15,2023,6,2,30,Female,Speeding - 11-20 mph over limit,TC5302
2023-02-06,2023,5,7,40,Male,Mobile phone violation,TC7927
2023-05-03,2023,1,3,40,Female,Equipment violation,TC3870
2023-08-22,2023,5,1,22,Female,Mobile phone violation,TC5611
2023-03-16,2023,10,7,30,Male,Equipment violation,TC4056
2023-03-30,2023,10,5,20,Male,Red light violation,TC7970
2023-08-30,2023,10,6,40,Female,Unsafe lane change,TC9103
2023-01-05,2023,1,6,45,Female,Equipment violation,TC7875
2023-07-25,2023,1,1,24,Female,Seat belt violation,TC2389
2023-06-18,2023,1,1,22,Male,Mobile phone violation,TC9701
2023-02-12,2023,7,5,60,Male,Equipment violation,TC8580
2023-08-02,2023,4,3,22,Female,Mobile phone violation,TC4911
2023-11-12,2023,6,3,55,Male,Mobile phone violation,TC7919
2023-03-20,2023,2,2,63,Male,Mobile phone violation,TC7633
2023-07-31,2023,11,1,45,Female,Following too closely,TC6818
2023-01-25,2023,8,4,30,Male,Red light violation,TC6212
2023-11-30,2023,7,2,18,Female,Seat belt violation,TC9004
2023-09-29,2023,6,3,25,Male,Mobile phone violation,TC4821
2023-10-03,2023,10,7,20,Male,Unsafe lane change,TC3433
2023-07-06,2023,8,1,36,Female,Speeding - 11-20 mph over limit,TC2171
2023-01-02,2023,3,7,62,Female,Mobile phone violation,TC8883
2023-01-25,2023,10,6,29,Female,Seat belt violation,TC3771
2023-08-07,2023,7,2,29,Female,Red light violation,TC3460
